Step,Time,X,Y,Z,Ex,Ey,Ez
0,0.0000,0.998934,0.000954,0.000112,1.883830e-002,1.812373e-002,3.141820e-004
1,1.0000,0.716385,0.272789,0.004816,1.381902e-002,1.220523e-002,5.931275e-004
2,2.0000,0.509142,0.455834,0.013699,9.966008e-003,7.940929e-003,5.920649e-004
3,3.0000,0.359700,0.574911,0.022563,7.105556e-003,4.916425e-003,4.929254e-004
4,4.0000,0.253164,0.648621,0.029938,5.028062e-003,2.797662e-003,3.764050e-004
5,5.0000,0.177787,0.690554,0.035565,3.540838e-003,1.329336e-003,2.732940e-004
6,6.0000,0.124713,0.710468,0.039645,2.486165e-003,3.227106e-004,1.918211e-004
7,7.0000,0.087453,0.715288,0.042504,1.742748e-003,3.587950e-004,1.311323e-004
8,8.0000,0.061338,0.709892,0.044453,1.220690e-003,8.126578e-004,8.746187e-005
9,9.0000,0.043048,0.697693,0.045747,8.548802e-004,1.107823e-003,5.670941e-005
10,10.0000,0.030242,0.681070,0.046580,5.988396e-004,1.292772e-003,3.535523e-005
11,11.0000,0.021272,0.661677,0.047094,4.196994e-004,1.401470e-003,2.066466e-005
12,12.0000,0.014986,0.640656,0.047387,2.943502e-004,1.457654e-003,1.062191e-005
13,13.0000,0.010579,0.618794,0.047530,2.066022e-004,1.477890e-003,3.786603e-006
14,14.0000,0.007485,0.596629,0.047571,1.451366e-004,1.473727e-003,8.507388e-007
15,15.0000,0.005312,0.574529,0.047542,1.020475e-004,1.453209e-003,3.988754e-006
16,16.0000,0.003785,0.552737,0.047466,7.181464e-005,1.421932e-003,6.107015e-006
17,17.0000,0.002710,0.531414,0.047359,5.058292e-005,1.383785e-003,7.532948e-006
18,18.0000,0.001953,0.510664,0.047230,3.565858e-005,1.341465e-003,8.489326e-006
19,19.0000,0.001420,0.490549,0.047087,2.515808e-005,1.296838e-003,9.127385e-006
20,20.0000,0.001043,0.471104,0.046934,1.776332e-005,1.251186e-003,9.549666e-006
21,21.0000,0.000778,0.452343,0.046776,1.255102e-005,1.205387e-003,9.825649e-006
22,22.0000,0.000590,0.434269,0.046613,8.873842e-006,1.160034e-003,1.000240e-005
23,23.0000,0.000457,0.416875,0.046447,6.277476e-006,1.115523e-003,1.011180e-005
24,24.0000,0.000363,0.400149,0.046280,4.442761e-006,1.072112e-003,1.017547e-005
25,25.0000,0.000297,0.384074,0.046113,3.145265e-006,1.029960e-003,1.020806e-005
26,26.0000,0.000250,0.368630,0.045944,2.227017e-006,9.891628e-004,1.021951e-005
27,27.0000,0.000217,0.353799,0.045776,1.576722e-006,9.497668e-004,1.021656e-005
28,28.0000,0.000193,0.339558,0.045608,1.115900e-006,9.117882e-004,1.020381e-005
29,29.0000,0.000176,0.325887,0.045439,7.891601e-007,8.752207e-004,1.018436e-005
30,30.0000,0.000165,0.312764,0.045272,5.573744e-007,8.400435e-004,1.016035e-005
31,31.0000,0.000156,0.300168,0.045104,3.928817e-007,8.062260e-004,1.013321e-005
32,32.0000,0.000150,0.288080,0.044938,2.761104e-007,7.737314e-004,1.010393e-005
33,33.0000,0.000146,0.276478,0.044771,1.932031e-007,7.425193e-004,1.007319e-005
34,34.0000,0.000143,0.265345,0.044605,1.343403e-007,7.125467e-004,1.004145e-005
35,35.0000,0.000141,0.254661,0.044440,9.255939e-008,6.837702e-004,1.000902e-005
36,36.0000,0.000140,0.244409,0.044275,6.292002e-008,6.561461e-004,9.976119e-006
37,37.0000,0.000139,0.234571,0.044111,4.191447e-008,6.296309e-004,9.942897e-006
